70294003::other::What is blue?::70294::bus::_predadj(A, B)::_predadj(_$qVar, blue)
521721002::yes/no::Is the bird orange?::521721::no::_predadj(A, B)::_predadj(bird, orange)
114303000::yes/no::Are the walls yellow?::114303::no::_predadj(A, B)::_predadj(wall, yellow)
419074022::yes/no::Is the sky clear?::419074::no::_predadj(A, B)::_predadj(sky, clear)
325586001::yes/no::Is the banana green?::325586::yes::_predadj(A, B)::_predadj(banana, green)
67125003::yes/no::Are the trees green?::67125::yes::_predadj(A, B)::_predadj(tree, green)
286794010::yes/no::Is the ground green?::286794::no::_predadj(A, B)::_predadj(ground, green)
262509003::yes/no::Is the water clear?::262509::no::_predadj(A, B)::_predadj(water, clear)
364521001::other::What is yellow?::364521::toilet::_predadj(A, B)::_predadj(_$qVar, yellow)
290981002::yes/no::Is the sky clear?::290981::yes::_predadj(A, B)::_predadj(sky, clear)
255158007::yes/no::Is the woman big?::255158::no::_predadj(A, B)::_predadj(woman, big)
182021000::yes/no::Is the grass green?::182021::yes::_predadj(A, B)::_predadj(grass, green)
316147001::yes/no::Is the player tall?::316147::yes::_predadj(A, B)::_predadj(player, tall)
214527009::yes/no::Is the clock old?::214527::no::_predadj(A, B)::_predadj(clock, old)
328730002::yes/no::Are the men young?::328730::yes::_predadj(A, B)::_predadj(man, young)
299409005::yes/no::Are the trees large?::299409::yes::_predadj(A, B)::_predadj(tree, large)
550051002::yes/no::Are the umbrellas clear?::550051::no::_predadj(A, B)::_predadj(umbrella, clear)
486580002::yes/no::Are the pants yellow?::486580::no::_predadj(A, B)::_predadj(pants, yellow)
44081000::yes/no::Is the shirt striped?::44081::no::_predadj(A, B)::_predadj(shirt, striped)
405279013::yes/no::Are the trees green?::405279::no::_predadj(A, B)::_predadj(tree, green)
357081001::other::Why is the cow purple?::357081::photoshop::_predadj(A, B)::_predadj(cow, purple)
576886002::other::What is white?::576886::snow::_predadj(A, B)::_predadj(_$qVar, white)
179311002::yes/no::Is the sky blue?::179311::no::_predadj(A, B)::_predadj(sky, blue)
143696002::yes/no::Is the water green?::143696::yes::_predadj(A, B)::_predadj(water, green)
217060006::yes/no::Is the sky blue?::217060::yes::_predadj(A, B)::_predadj(sky, blue)
315191000::yes/no::Is the sky blue?::315191::no::_predadj(A, B)::_predadj(sky, blue)
26767000::yes/no::Is the sky blue?::26767::yes::_predadj(A, B)::_predadj(sky, blue)
410437001::other::What is green?::410437::lights::_predadj(A, B)::_predadj(_$qVar, green)
173109001::yes/no::Is the water clear?::173109::yes::_predadj(A, B)::_predadj(water, clear)
269314002::yes/no::Is the cat large?::269314::no::_predadj(A, B)::_predadj(cat, large)
227073000::yes/no::Is the picture old?::227073::yes::_predadj(A, B)::_predadj(picture, old)
